,시군구,PM10,PM25
0,가평군,34.79179588512499,19.444126196132412
1,강남구,40.285928589032046,22.951954336992344
2,강동구,43.424635841475315,22.882363037288332
3,강릉시,39.926502656775526,19.54400906622751
4,강북구,38.92570266024795,21.130694891385136
5,강서구,42.93677698411701,23.719992413546912
6,강서로,37.28280890461491,22.517298735473336
7,강진군,27.31646893079025,15.876538439144841
8,강화군,40.66321862207975,21.476505178248072
9,거제시,36.46809206509185,20.26681391241946
10,거창군,33.22392156641923,18.59581256078151
11,경산시,39.32585756310762,22.725567470888304
12,경주시,31.989338840543503,18.424444880457482
13,계룡시,34.075682774163674,18.169422395239152
14,계양구,46.30795408764697,24.621792601180555
15,고령군,31.505037295938877,17.0031908999026
16,고성군,30.67046839426051,14.617280419257035
17,고양시,45.30666080833552,24.161058412046472
18,고창군,38.81961359795357,22.133422960543967
19,고흥군,27.56941559481565,13.880802370887887
20,곡성군,30.967820536093857,14.907644442528786
21,공주시,37.51993539176547,22.52243729203284
22,과천시,43.10900173603089,21.27344429068139
23,관악구,40.95694052921417,23.68924071510605
24,광명시,46.59585434856495,24.270068285895114
25,광산구,38.92185714829225,23.420768826238714
26,광양시,34.75057765863731,19.823163963186897
27,광주시,44.85278627824687,25.139635832194124
28,광진구,38.775758509579276,22.18035154766906
29,괴산군,36.22962768099209,22.19514463183685
30,구례군,31.142568594260844,16.963250335816085
31,구로구,41.290099635656674,22.342315826091674
32,구리시,48.16847634731042,25.67664612088057
33,구미시,41.257276558966645,21.013670487623735
34,군산시,43.243006552088666,25.06946949378562
35,군위군,28.093731035052176,15.054472900491465
36,군포시,43.97325500367756,23.47896395358853
37,금산군,37.19918069862883,21.79614484470137
38,금정구,37.05525208895247,21.282628884723145
39,금천구,40.261298652703424,23.457332621080454
40,기장군,34.380403365327076,19.756039043696305
41,김제시,45.16439137615948,26.852367536037978
42,김천시,41.644299542084916,23.5179414043288
43,김포시,51.92936151355867,26.091131610615758
44,김해시,36.40288233776174,19.20545066985115
45,나주시,31.352122232668016,18.5621814430571
46,남구,38.80496574431537,21.337714888215725
47,남동구,43.82460654915394,23.70491994822931
48,남양주시,40.05933090191146,22.051276211774994
49,남원시,38.56572041050308,22.058248394263117
50,남해군,31.5142415170218,16.103310237150193
51,노원구,39.74191488705186,22.92745521370655
52,논산시,40.86890124711029,19.805783760549403
53,단양군,37.986600638376615,22.465994496020528
54,달서구,39.23845951425268,22.873057046316998
55,달성군,36.15878341330254,19.62605162132931
56,담양군,37.731755362938614,19.166110288534664
57,당진군,50.335692523862974,26.200672973392564
58,당진시,49.213312637546935,26.640605366106396
59,당진시_x000D_,45.0404331210283,23.382302888654948
60,대덕구,43.98880600329294,22.217204966549268
61,도봉구,38.21794284604613,21.170123266934016
62,동구,39.67270383959973,21.36645016650939
63,동대문구,39.33600717528874,22.641357017902145
64,동두천시,40.66488045872308,22.940696489231524
65,동래구,42.215709102242535,22.236450536837012
66,동작구,42.24372147086219,23.241874241475017
67,동해시,35.105972312914425,17.896045495167975
68,마포구,40.91159835992591,24.455685830845617
69,목포시,38.01552882538699,18.445536394358697
70,무안군,39.08905887607636,19.33168059151878
71,무주군,29.16826485441226,16.455753052685942
72,문경시,30.28389693434812,17.523534904390115
73,미추홀구,41.50208830204636,22.73239303749852
74,밀양시,35.6056616398653,17.761135875977494
75,보령시,38.297335154280084,21.05185292418796
76,보성군,31.294134953201542,14.619497494925769
77,보은군,35.38957004850187,22.64400047447159
78,봉화군,23.088785432441398,12.188958103476391
79,부강면,21.806744782646046,11.823059361453593
80,부산진구,40.03914025064048,22.059384964821614
81,부안군,43.50974789338219,25.890810609506815
82,부여군,40.71256079027417,21.689381775720687
83,부천시,50.60081367832442,27.132593613545964
84,부평구,44.63905583537783,22.68763818668264
85,북구,39.98128536681955,21.56229154121636
86,사상구,44.48370286715661,26.12771611102425
87,사천시,33.92409482221548,16.990882747261306
88,사하구,43.723330442080375,25.91868150349509
89,산청군,25.31675711960234,15.014350753505541
90,삼척시,32.835473099338714,17.293816619925597
