연도,아토피피부염,알레르기비염,천식,PM10,PM25
2015,24.9,34.7,9.3,47.538998067861165,26.527849364745208
2016,25.6,37.2,9.4,45.716694572642844,25.73521270327646
2017,25.6,37.0,9.4,44.8994458397893,24.686478808075027
2018,25.6,38.0,8.9,41.191954049948876,22.88130496418057
2019,23.1,37.4,7.4,40.30390828659427,22.812924189921223
2020,24.5,37.2,6.7,32.83348774209125,18.526752286438754
2021,23.5,36.5,6.1,35.81694986607392,17.74912017029772
